------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
DTU 10 MW Reference Turbine
======  Blade Properties =================================================================
      40          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
    0.00000E+00    0.70100E-04   -0.00000E+00   -0.00000E+00    0.14500E+02    0.53800E+01   1
    0.20038E+01   -0.81256E-02   -0.13760E-04   -0.23434E+00    0.14500E+02    0.53800E+01   1
    0.47210E+01   -0.19486E-01   -0.41908E-02   -0.23954E+00    0.14500E+02    0.53800E+01   2
    0.54063E+01   -0.22387E-01   -0.58514E-02   -0.24255E+00    0.14500E+02    0.53800E+01   3
    0.63310E+01   -0.25695E-01   -0.11134E-01   -0.20495E+00    0.14500E+02    0.53886E+01   4
    0.74891E+01   -0.27559E-01   -0.29028E-01   -0.92243E-01    0.14443E+02    0.54212E+01   5
    0.88744E+01   -0.27492E-01   -0.61577E-01   -0.27546E-02    0.14269E+02    0.54865E+01   6
    0.10476E+02   -0.20942E-01   -0.13117E+00   -0.23436E+00    0.13975E+02    0.55887E+01   7
    0.12287E+02   -0.12359E-01   -0.23145E+00   -0.27157E+00    0.13357E+02    0.57247E+01   8
    0.14294E+02   -0.59907E-02   -0.35583E+00   -0.18181E+00    0.12292E+02    0.58817E+01   9
    0.16486E+02   -0.10973E-01   -0.48167E+00   -0.13021E+00    0.11008E+02    0.60346E+01  10
    0.18853E+02   -0.24575E-01   -0.60355E+00   -0.32921E+00    0.96676E+01    0.61478E+01  11
    0.21379E+02   -0.49989E-01   -0.70615E+00   -0.57653E+00    0.84600E+01    0.62020E+01  12
    0.24050E+02   -0.86555E-01   -0.77656E+00   -0.78442E+00    0.76301E+01    0.61950E+01  13
    0.26849E+02   -0.13268E+00   -0.82332E+00   -0.94430E+00    0.69470E+01    0.61292E+01  14
    0.29757E+02   -0.18937E+00   -0.84740E+00   -0.11168E+01    0.63385E+01    0.60096E+01  15
    0.32761E+02   -0.25681E+00   -0.85125E+00   -0.12868E+01    0.57599E+01    0.58432E+01  16
    0.35837E+02   -0.33793E+00   -0.83399E+00   -0.15109E+01    0.51898E+01    0.56400E+01  17
    0.38971E+02   -0.42776E+00   -0.80527E+00   -0.16427E+01    0.46154E+01    0.54107E+01  18
    0.42141E+02   -0.53124E+00   -0.77034E+00   -0.18704E+01    0.39957E+01    0.51613E+01  19
    0.45331E+02   -0.64338E+00   -0.73147E+00   -0.20147E+01    0.33478E+01    0.48974E+01  20
    0.48519E+02   -0.76957E+00   -0.69141E+00   -0.22682E+01    0.26912E+01    0.46255E+01  21
    0.51688E+02   -0.90425E+00   -0.65081E+00   -0.24358E+01    0.20326E+01    0.43519E+01  22
    0.54818E+02   -0.10509E+01   -0.61100E+00   -0.26856E+01    0.14025E+01    0.40827E+01  23
    0.57889E+02   -0.12045E+01   -0.57212E+00   -0.28660E+01    0.79818E+00    0.38220E+01  24
    0.60885E+02   -0.13682E+01   -0.53490E+00   -0.31328E+01    0.24502E+00    0.35724E+01  24
    0.63787E+02   -0.15404E+01   -0.49954E+00   -0.34038E+01   -0.25499E+00    0.33364E+01  24
    0.66576E+02   -0.17146E+01   -0.46627E+00   -0.35788E+01   -0.71820E+00    0.31161E+01  24
    0.69237E+02   -0.19016E+01   -0.43634E+00   -0.40319E+01   -0.11164E+01    0.29130E+01  24
    0.71754E+02   -0.20786E+01   -0.40802E+00   -0.40319E+01   -0.14933E+01    0.27275E+01  24
    0.74111E+02   -0.22646E+01   -0.38248E+00   -0.45244E+01   -0.18298E+01    0.25595E+01  24
    0.76295E+02   -0.24412E+01   -0.35904E+00   -0.46391E+01   -0.21381E+01    0.24087E+01  24
    0.78292E+02   -0.26028E+01   -0.33760E+00   -0.46393E+01   -0.24201E+01    0.22660E+01  24
    0.80092E+02   -0.27547E+01   -0.31544E+00   -0.48412E+01   -0.26729E+01    0.21175E+01  24
    0.81682E+02   -0.29004E+01   -0.29187E+00   -0.52570E+01   -0.28877E+01    0.19588E+01  24
    0.83054E+02   -0.30284E+01   -0.26522E+00   -0.53555E+01   -0.30635E+01    0.17913E+01  24
    0.84200E+02   -0.31353E+01   -0.23361E+00   -0.53553E+01   -0.31993E+01    0.16013E+01  24
    0.85112E+02   -0.32204E+01   -0.19859E+00   -0.53517E+01   -0.33012E+01    0.13858E+01  24
    0.85784E+02   -0.32828E+01   -0.14189E+00   -0.53288E+01   -0.33684E+01    0.11384E+01  24
    0.86400E+02   -0.33400E+01   -0.89900E-01   -0.53274E+01   -0.34300E+01    0.83354E+00  24
